"Date","Transaction Type","Transaction Status","Original Currency","Original Amount","Currency","Amount","Merchant Name","Last4","Card Name","Decline Reason"
"2023-12-15 10:21:58 +01:00","POS_TX","APPROVED","USD","48.75","USD","48.75","KODEKLOUD","3038","Enugbeh mo need owo",""
"2023-12-15 10:19:41 +01:00","DEPOSIT","APPROVED","USD","50.00","USD","50.00","Deel Balance","","",""
"2023-12-10 00:25:16 +01:00","POS_TX","APPROVED","USD","28.00","USD","28.00","PAYPAL *HEROSHE","3038","Enugbeh mo need owo",""
"2023-12-10 00:25:03 +01:00","DEPOSIT","APPROVED","USD","20.00","USD","20.00","Deel Balance","","",""
"2023-12-10 00:23:43 +01:00","POS_TX","DECLINED","USD","28.00","USD","0","PAYPAL *HEROSHE","3038","Enugbeh mo need owo","insufficient funds"
"2023-12-08 23:45:48 +01:00","POS_TX","APPROVED","ZAR","549.97","USD","29.92","EA *ELECTRONIC ARTS","3038","Enugbeh mo need owo",""
"2023-12-08 23:44:26 +01:00","DEPOSIT","APPROVED","USD","30.00","USD","30.00","Deel Balance","","",""
"2023-12-05 20:38:07 +01:00","POS_TX","DECLINED","USD","10.29","USD","0","Bamboo","3038","Enugbeh mo need owo","security risk detected"
"2023-12-05 20:38:06 +01:00","POS_TX","DECLINED","USD","10.29","USD","0","Bamboo","3038","Enugbeh mo need owo","restricted transaction"
"2023-12-04 11:04:55 +01:00","POS_TX","APPROVED","USD","14.99","USD","14.99","Amazon Prime","3038","Enugbeh mo need owo",""
"2023-12-03 12:42:59 +01:00","POS_TX","DECLINED","USD","10.99","USD","0","TIDAL","2001","Untitled Card","blocked card"
"2023-12-03 03:44:39 +01:00","POS_TX","APPROVED","USD","4.74","USD","4.74","AWS EMEA","3038","Enugbeh mo need owo",""
"2023-12-01 17:27:17 +01:00","DEPOSIT","APPROVED","USD","20.00","USD","20.00","Deel Balance","","",""
"2023-12-01 12:42:40 +01:00","POS_TX","DECLINED","USD","10.99","USD","0","TIDAL","2001","Untitled Card","blocked card"
"2023-12-01 11:12:01 +01:00","DEPOSIT","APPROVED","USD","10.00","USD","10.00","Deel Balance","","",""
"2023-12-01 11:04:48 +01:00","POS_TX","DECLINED","USD","14.99","USD","0","Amazon Prime","3038","Enugbeh mo need owo","insufficient funds"
"2023-11-30 10:21:31 +01:00","POS_TX","APPROVED","USD","26.07","USD","26.07","AMZN Mktp UK","3038","Enugbeh mo need owo",""
"2023-11-30 09:47:14 +01:00","DEPOSIT","APPROVED","USD","20.00","USD","20.00","Deel Balance","","",""
"2023-11-29 19:20:11 +01:00","REFUND","APPROVED","SGD","3.00","USD","2.24","PP*2986CODE              4029357733   LU","3038","Enugbeh mo need owo",""
"2023-11-28 14:56:23 +01:00","POS_TX","APPROVED","SGD","3.00","USD","2.29","PP*2986CODE","3038","Enugbeh mo need owo",""
"2023-11-28 12:42:52 +01:00","POS_TX","DECLINED","USD","10.99","USD","0","TIDAL","2001","Untitled Card","blocked card"
"2023-11-27 00:01:03 +01:00","REFUND","APPROVED","SGD","1.00","USD","0.75","United Airlines - Sing","3038","Enugbeh mo need owo",""
"2023-11-26 19:20:08 +01:00","POS_TX","APPROVED","ZAR","219.99","USD","11.98","EA Swiss SARL","3038","Enugbeh mo need owo",""
"2023-11-26 18:58:03 +01:00","REFUND","APPROVED","SGD","6.28","USD","4.77","PAYPAL *STEAM GAMES","3038","Enugbeh mo need owo",""
"2023-11-26 18:57:59 +01:00","POS_TX","APPROVED","SGD","6.28","USD","4.77","PAYPAL *STEAM GAMES","3038","Enugbeh mo need owo",""
"2023-11-26 18:52:27 +01:00","REFUND","APPROVED","SGD","6.28","USD","4.77","PAYPAL *STEAM GAMES","3038","Enugbeh mo need owo",""
"2023-11-26 18:52:22 +01:00","POS_TX","APPROVED","SGD","6.28","USD","4.77","PAYPAL *STEAM GAMES","3038","Enugbeh mo need owo",""
"2023-11-26 00:03:54 +01:00","REFUND","APPROVED","USD","0.46","USD","0.46","UBER   *TRIP","3038","Enugbeh mo need owo",""
"2023-11-25 23:16:49 +01:00","POS_TX","APPROVED","ZAR","52.49","USD","2.86","EA *ELECTRONIC ARTS","3038","Enugbeh mo need owo",""
"2023-11-25 23:06:31 +01:00","DEPOSIT","APPROVED","USD","2.00","USD","2.00","Deel Balance","","",""
"2023-11-25 23:06:14 +01:00","DEPOSIT","APPROVED","USD","8.00","USD","8.00","Deel Balance","","",""
"2023-11-25 23:05:17 +01:00","POS_TX","DECLINED","ZAR","549.97","USD","0","EA *ELECTRONIC ARTS","3038","Enugbeh mo need owo","insufficient funds"
"2023-11-25 23:05:16 +01:00","POS_TX","DECLINED","ZAR","549.97","USD","0","EA *ELECTRONIC ARTS","3038","Enugbeh mo need owo","insufficient funds"
"2023-11-25 12:42:56 +01:00","POS_TX","DECLINED","USD","10.99","USD","0","TIDAL","2001","Untitled Card","blocked card"
"2023-11-25 00:09:23 +01:00","REFUND","APPROVED","USD","0.21","USD","0.21","UBER   *TRIP","3038","Enugbeh mo need owo",""
"2023-11-24 23:49:04 +01:00","POS_TX","APPROVED","USD","28.00","USD","28.00","HEROSHE INC.","3038","Enugbeh mo need owo",""
"2023-11-24 14:59:38 +01:00","POS_TX","APPROVED","USD","15.40","USD","15.40","AMAZON.COM AMZN.COM/BI","3038","Enugbeh mo need owo",""
"2023-11-24 11:16:53 +01:00","POS_TX","APPROVED","USD","254.89","USD","254.89","AMAZON.COM AMZN.COM/BI","3038","Enugbeh mo need owo",""
"2023-11-24 11:11:16 +01:00","DEPOSIT","APPROVED","USD","290.00","USD","290.00","Deel Balance","","",""
"2023-11-24 10:50:07 +01:00","POS_TX","APPROVED","USD","1.99","USD","1.99","Amazon Prime","3038","Enugbeh mo need owo",""
"2023-11-24 00:09:42 +01:00","REFUND","APPROVED","USD","0.07","USD","0.07","UBER   *TRIP","3038","Enugbeh mo need owo",""
"2023-11-22 12:42:35 +01:00","POS_TX","DECLINED","USD","10.99","USD","0","TIDAL","2001","Untitled Card","blocked card"
"2023-11-21 17:36:46 +01:00","POS_TX","DECLINED","USD","20.91","USD","0","Wise","3038","Enugbeh mo need owo","security risk detected"
"2023-11-21 17:36:46 +01:00","POS_TX","DECLINED","USD","20.91","USD","0","Wise","3038","Enugbeh mo need owo","restricted transaction"
